date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:22	26524/26524	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-679c%22	https://getbootstrap.com/docs/4.1/content/images/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/content/images/index.html	(from )
14:07:22	38477/38477	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-964d%22	https://getbootstrap.com/docs/4.1/components/alerts/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/alerts/index.html	(from )
14:07:22	23107/23107	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5a43%22	https://getbootstrap.com/docs/4.1/content/figures/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/content/figures/index.html	(from )
14:07:23	310/310	---M--	200	added ('OK')	image/png	etag:%225c5071b4-136%22	https://getbootstrap.com/docs/4.1/assets/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/img/favicons/favicon-16x16.png	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:23	32562/32562	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-7f32%22	https://getbootstrap.com/docs/4.1/components/badge/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/badge/index.html	(from )
14:07:23	45023/45023	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-afdf%22	https://getbootstrap.com/docs/4.1/components/buttons/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/buttons/index.html	(from )
14:07:23	43246/43246	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-a8ee%22	https://getbootstrap.com/docs/4.1/components/button-group/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/button-group/index.html	(from )
14:07:23	25980/25980	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-657c%22	https://getbootstrap.com/docs/4.1/components/breadcrumb/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/breadcrumb/index.html	(from )
14:07:24	23959/23959	---M--	200	added ('OK')	image/png	etag:%225c5071b4-5d97%22	https://getbootstrap.com/docs/4.1/assets/brand/bootstrap-social-logo.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/brand/bootstrap-social-logo.png	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:24	132591/132591	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-205ef%22	https://getbootstrap.com/docs/4.1/components/card/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/card/index.html	(from )
14:07:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Jan%202019%2007:07:24%20GMT	http://getbootstrap.com/docs/4.1/assets/brand/bootstrap-social.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/brand/bootstrap-social.7.delayed	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:25	54004/54004	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-d2f4%22	https://getbootstrap.com/docs/4.1/components/carousel/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/carousel/index.html	(from )
14:07:25	50446/50446	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-c50e%22	https://getbootstrap.com/docs/4.1/components/collapse/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/collapse/index.html	(from )
14:07:25	97930/97930	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-17e8a%22	https://getbootstrap.com/docs/4.1/components/dropdowns/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/dropdowns/index.html	(from )
14:07:26	208185/208185	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-32d39%22	https://getbootstrap.com/docs/4.1/components/forms/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/forms/index.html	(from )
14:07:26	76848/76848	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-12c30%22	https://getbootstrap.com/docs/4.1/components/input-group/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/input-group/index.html	(from )
14:07:27	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Bootstrap/www.google-analytics.com/analytics.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:27	23200/23200	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5aa0%22	https://getbootstrap.com/docs/4.1/components/jumbotron/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/jumbotron/index.html	(from )
14:07:27	73882/73882	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-1209a%22	https://getbootstrap.com/docs/4.1/components/list-group/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/list-group/index.html	(from )
14:07:28	79816/79816	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-137c8%22	https://getbootstrap.com/docs/4.1/components/modal/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/modal/index.html	(from )
